"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Belize", 0, 31790496.2197404, 33773265.8022003, 35978342.6328963, 39103687.6948019, 43127191.710074, 47296310.2014399, 48765049.5751146, 49722757.1871317, 51723172.9196587, 56207254.9365578, 65823205.413837, 77391723.8224909, 95508678.4635826, 112407298.296387, 107925333.592582, 117219108.29933, 128748220.685006, 158196087.822751, 205133422.388845, 211220402.899064, 195610956.876534, 179372316.881538, 186159782.67778, 198229225.564576, 229547539.986927, 280639803.509614, 335542573.296231, 380883572.15358, 459070962.521414, 558323784.944893, 702731974.109012, 744718088.40349, 753827245.068553, 792603327.297007, 819453282.190229, 857062237.712016, 867108464.76052, 943266917.884633, 1074234105.87525, 1105446059.03945, 1161154502.04278, 1267871695.89493, 1352758974.75662, 1406772414.21698, 1479351220.64763, 1534621972.24501, 1567273844.56868, 1644771623.64846, 1610198058.02241, 1676924536.17243, 1765015907.09522, 1893840342.39243, 1966096580.8496, 2061416224.82187, 2058497877.14296, 2050263033.30807, 2140784678.54887, 2263307103.90749, 2022647203.15689, 2415439159.38803, 2686844504.8059, 0
"Bolivia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2791509865.30783, 3056187872.00373, 3491979547.27672, 4157531804.57773, 4571263935.97782, 5107498429.55806, 4940748583.39968, 4948285103.19739, 5155343746.42444, 5159710415.1321, 4672084834.1364, 4599778741.76858, 4692527184.89454, 4834990348.80943, 4935696862.23302, 5187889444.4074, 5500506595.21152, 5786266082.69622, 6076520548.89301, 6481981074.0677, 6996546997.78849, 7562658299.37388, 8000748390.12683, 8051805798.72676, 8287220575.28991, 8178334217.85646, 8013319838.49318, 8087241813.44273, 8660904873.51947, 9396905524.68807, 10417513103.2078, 11706816630.8376, 14340297575.8811, 16050387659.816, 17900908154.519, 20429897627.8661, 23313311404.0638, 27255102211.4081, 30352501100.8502, 32208419842.6199, 33490607690.2881, 34575847667.3876, 38242657885.6291, 40542447636.8904, 37214351061.2021, 39797223390.5444, 42674624175.0473, 0
"Brazil", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1345527000000.0, 648860964841.724, 434700107651.611, 429183907918.181, 431202486360.139, 476770039747.371, 605127853087.88, 737132126665.769, 852111648977.422, 842277820408.731, 726412681951.612, 687477556777.387, 593934957876.169, 556554307892.87, 543480885952.132, 616154518612.28, 743914453646.562, 912923812585.786, 1177507343715.17, 1462688048543.24, 1614029651682.61, 1887913826122.21, 2188955644304.05, 2453809428160.65, 2571101412018.53, 2457007358837.74, 2084247076836.13, 1839991782323.61, 1808496550014.27, 1920050002135.98, 1953066789010.45, 1686362846914.87, 1683422313086.14, 1753187925098.15, 0
"Barbados", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1518410982.21274, 1727232111.93278, 1924151371.5511, 2042994900.51548, 1983488193.7416, 1981442825.08207, 1961838034.63488, 2029113660.42602, 2120909304.06011, 2218292104.00616, 2322016457.67722, 2427226265.5653, 2537665189.38737, 2655150412.92694, 2926246619.35025, 2895584909.67368, 2913090220.30694, 3099131583.24969, 3383468816.82044, 3658306711.19075, 3948332202.7363, 4325315087.56618, 4525522674.88462, 4423798103.62867, 4387128879.21676, 4257038752.92082, 4465445968.96757, 4462007202.04808, 4465213898.68896, 4504954371.28071, 4566105316.49174, 4614989657.86524, 4786082895.251, 4952523874.28957, 4607676664.50865, 4698426990.91639, 5488600141.15433, 0
"Brunei Darussalam", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3039405069.24713, 3223733613.46954, 3615583975.16996, 4152319917.37264, 4233477949.04643, 4367057902.73679, 4659597498.28801, 4938443869.95689, 5059580040.63799, 4602950603.53466, 4579499539.93362, 4892163665.80476, 5465215639.45355, 5942559325.29202, 6290388294.42561, 7184967616.41478, 8429121970.22756, 10210039489.7173, 11595874525.5313, 12956602357.6915, 12460695503.7474, 12942811166.8358, 13983840910.0118, 16906939067.5568, 18329324023.819, 17656472824.2974, 16120439312.3698, 13925371184.6404, 12650738438.1561, 12604886966.2892, 13965479852.3908, 13785082195.8727, 13502110764.251, 14101777008.4246, 0
"Bhutan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115883430.915661, 110512236.640093, 125884579.424384, 131024646.483825, 157437702.178805, 230733447.379535, 266444163.39107, 284924577.843893, 295580365.486578, 255883459.518356, 241332658.601864, 224630938.419002, 239687888.922284, 248459209.05506, 274719446.63422, 304678887.281142, 296327847.092791, 321171109.321169, 412235699.097229, 453789522.929029, 500639122.874494, 569108130.985116, 660738748.165906, 775988807.262118, 871290047.636992, 1086690470.01217, 1185703362.43784, 1264740029.82899, 1396068430.0976, 1553945875.21065, 1678863954.20135, 1714625921.49934, 1766281663.75199, 1836529478.67724, 1949049552.90218, 2132706933.11434, 2339925928.32703, 2578551453.14925, 2342260818.70796, 2558668390.48293, 0, 0
"Botswana", 0, 40040001.8680328, 43034308.9161462, 46664090.2680488, 50923611.2637831, 55865436.353054, 60074210.4734113, 70619658.650436, 85153020.2460239, 101235220.895828, 131029320.354636, 171495938.794989, 240821218.621189, 312847865.107296, 385962717.217839, 419302657.80595, 467880676.321639, 572026320.303544, 770054074.20014, 997617403.161735, 1248708897.49752, 1242986330.72726, 1163889192.1593, 1119512163.84383, 1146120585.55527, 1281646521.57649, 1547463603.3072, 2381863957.89379, 2887773433.87241, 3505142826.86039, 4068913844.62293, 4455125960.27783, 4655539465.18464, 4238185553.95703, 4795947030.11843, 4787804014.65191, 5125361227.9457, 5053971833.08362, 5072642079.46665, 5217043803.71838, 5465282213.33426, 4991385474.11412, 5851634154.19953, 6928494652.75945, 8877968956.76491, 10124089724.9996, 10749196108.1925, 10656672199.5213, 9742888536.89526, 10924310408.7435, 13478154388.9843, 14575466033.5448, 14871294311.7931, 15173763571.6871, 13517543943.3067, 13545412143.2289, 14065757142.8011, 15358921985.3143, 16561838429.5329, 15607802408.6094, 17852662154.9354, 19555680619.4766, 0
"Central African Republic", 0, 120380502.103105, 125062096.11111, 134925238.722397, 145136960.442242, 155399465.565396, 167340037.898454, 179097992.531273, 198049685.47043, 204548144.537857, 204103784.619411, 220738718.971746, 264311363.34306, 319658376.985566, 371786863.359803, 419593340.443444, 495771269.285674, 577186228.659291, 666973235.090547, 784541059.618954, 800159358.149533, 804163697.520191, 658220326.924592, 679354488.160417, 741083733.74951, 894757734.204047, 1106030879.44482, 1312780743.56684, 1335090026.5153, 1349587850.01866, 1371752195.72422, 1398381906.84806, 1362034667.95838, 1162011677.39601, 1137803733.13674, 990564722.696971, 1028192491.21592, 977197141.604891, 980949372.628765, 938658349.087108, 955815349.735314, 964457747.184932, 1006614095.44451, 1207337001.9534, 1356623568.96012, 1455419204.90729, 1601736848.4667, 1792646214.16115, 2086185554.77539, 2224629022.6882, 2344404754.04433, 2512729545.82532, 1670496470.58606, 1742839368.43164, 1802704234.82371, 1869960216.7792, 2006376458.09252, 2299192876.00122, 2450838201.33724, 2451238915.16082, 2613670960.06707, 2666451333.43099, 0
"Canada", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309083160924.749, 336772110802.677, 360234317215.946, 380081123390.489, 431728104803.179, 498940366960.801, 541772288421.099, 571566177582.797, 588340238991.732, 607629476845.106, 610119778159.693, 605818911738.026, 610887767914.872, 616252621288.709, 637808443004.523, 630328228495.479, 652090133197.585, 698135541367.578, 716812136603.113, 739548351287.297, 806288532960.16, 943151664706.253, 1106266944132.29, 1234533165610.24, 1366534974248.46, 1494009374073.3, 1453752810622.77, 1512739105532.75, 1620445289967.68, 1773200436575.31, 1852497278893.68, 1849732831786.84, 1698929088158.44, 1584894209394.33, 1567757783782.14, 1670922596087.89, 1752214972149.49, 1665064490961.23, 1862215556300.7, 2061634069846.08, 0
"Switzerland", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328806395867.347, 351284181668.637, 349411878328.34, 327995417212.803, 315691319484.11, 320278636596.773, 303758931567.236, 296071277932.754, 342456656043.198, 406435856294.833, 466862878576.105, 488637476530.191, 484167900166.323, 496130035118.325, 555992789747.685, 618494090552.5, 643494115481.325, 693480870528.273, 732809098122.287, 722614146290.628, 719021489940.295, 697964613257.412, 682669841526.898, 702168450837.552, 713128242429.023, 706059291031.058, 790418115545.225, 837996563136.639, 0
